id,user_id,weight,reps,exercise_session_id
1,1,185,7,1
2,1,185,7,1
3,1,185,7,1
4,1,0,0,1
5,1,185,7,2
6,1,185,8,2
7,1,185,7,2
8,1,0,0,2
9,1,185,8,3
10,1,185,8,3
11,1,185,7,3
12,1,0,0,3
13,1,185,8,4
14,1,185,6,4
15,1,185,5,4
16,1,0,0,4
17,1,185,5,5
18,1,185,5,5
19,1,135,8,5
20,1,0,0,5
21,1,185,7,6
22,1,185,7,6
23,1,185,7,6
24,1,0,0,6
25,1,185,7,7
26,1,185,6,7
27,1,185,4,7
28,1,0,0,7
29,1,185,6,8
30,1,185,6,8
31,1,185,6,8
32,1,0,0,8
33,1,185,7,9
34,1,185,6,9
35,1,185,6,9
36,1,0,0,9
37,1,185,7,10
38,1,185,7,10
39,1,185,6,10
40,1,0,0,10
41,1,185,7,11
42,1,185,7,11
43,1,185,7,11
44,1,0,0,11
45,1,185,5,12
46,1,185,7,12
47,1,185,7,12
48,1,0,0,12
49,1,185,6,13
50,1,185,4,13
51,1,165,6,13
52,1,165,5,13
53,1,185,7,14
54,1,185,7,14
55,1,165,8,14
56,1,165,8,14
57,1,185,8,15
58,1,185,8,15
59,1,185,6,15
60,1,165,7,15
61,1,205,7,16
62,1,205,4,16
63,1,185,6,16
64,1,185,6,16
65,1,185,8,17
66,1,205,6,17
67,1,205,6,17
68,1,185,4,17
69,1,185,7,18
70,1,205,7,18
71,1,205,4,18
72,1,185,7,18
73,1,185,7,19
74,1,205,8,19
75,1,205,4,19
76,1,185,5,19
77,1,185,7,20
78,1,225,5,20
79,1,205,6,20
80,1,185,7,20
81,1,225,5,21
82,1,205,5,21
83,1,205,4,21
84,1,185,7,21
85,1,225,5,22
86,1,205,6,22
87,1,205,5,22
88,1,185,5,22
89,1,225,4,23
90,1,205,7,23
91,1,205,5,23
92,1,185,6,23
93,1,75,10,24
94,1,95,10,24
95,1,95,10,24
96,1,0,0,24
97,1,155,8,25
98,1,165,8,25
99,1,175,8,25
100,1,0,0,25
101,1,205,6,26
102,1,225,4,26
103,1,225,3,26
104,1,195,9,26
105,1,95,10,27
106,1,105,10,27
107,1,115,10,27
108,1,0,0,27
109,1,175,8,28
110,1,195,8,28
111,1,195,8,28
112,1,0,0,28
113,1,225,6,29
114,1,205,7,29
115,1,205,3,29
116,1,195,5,29
117,1,115,10,30
118,1,125,10,30
119,1,135,10,30
120,1,0,0,30
121,1,195,8,31
122,1,205,8,31
123,1,215,8,31
124,1,0,0,31
125,1,225,6,32
126,1,215,5,32
127,1,215,4,32
128,1,195,5,32
129,1,135,10,33
130,1,145,10,33
131,1,145,10,33
132,1,0,0,33
133,1,225,8,34
134,1,225,8,34
135,1,235,6,34
136,1,0,0,34
137,1,225,4,35
138,1,215,3,35
139,1,215,5,35
140,1,205,4,35
141,1,155,8,36
142,1,165,8,36
143,1,165,5,36
144,1,155,8,36
145,1,245,8,37
146,1,0,0,37
147,1,0,0,37
148,1,0,0,37
149,1,225,6,38
150,1,215,5,38
151,1,215,4,38
152,1,205,5,38
153,1,165,8,39
154,1,165,8,39
155,1,165,8,39
156,1,175,8,39
157,1,265,7,40
158,1,0,0,40
159,1,0,0,40
160,1,0,0,40
161,1,230,4,41
162,1,215,5,41
163,1,215,5,41
164,1,205,6,41
165,1,165,8,42
166,1,175,8,42
167,1,175,8,42
168,1,175,8,42
169,1,285,5,43
170,1,0,0,43
171,1,0,0,43
172,1,0,0,43
173,1,230,6,44
174,1,215,5,44
175,1,215,5,44
176,1,205,6,44
177,1,175,8,45
178,1,175,8,45
179,1,185,8,45
180,1,185,10,45
181,1,300,3,46
182,1,0,0,46
183,1,0,0,46
184,1,0,0,46
185,1,240,5,47
186,1,215,5,47
187,1,215,6,47
188,1,205,5,47
189,1,185,8,48
190,1,195,8,48
191,1,195,8,48
192,1,205,8,48
193,1,300,4,49
194,1,0,0,49
195,1,0,0,49
196,1,0,0,49
197,1,240,3,50
198,1,225,4,50
199,1,215,6,50
200,1,215,5,50
201,1,205,6,51
202,1,215,6,51
203,1,215,6,51
204,1,215,6,51
205,1,300,5,52
206,1,225,3,52
207,1,225,5,52
208,1,225,5,52
209,1,240,3,53
210,1,225,5,53
211,1,225,4,53
212,1,225,3,53
213,1,215,6,54
214,1,215,6,54
215,1,215,6,54
216,1,225,6,54
217,1,315,2,55
218,1,275,3,55
219,1,275,4,55
220,1,275,5,55
221,1,240,4,56
222,1,225,5,56
223,1,225,4,56
224,1,225,4,56
225,1,225,6,57
226,1,225,6,57
227,1,225,6,57
228,1,225,6,57
229,1,315,3,58
230,1,275,5,58
231,1,295,3,58
232,1,275,4,58
233,1,240,5,59
234,1,225,5,59
235,1,225,4,59
236,1,225,5,59
237,1,225,4,60
238,1,225,5,60
239,1,225,5,60
240,1,225,3,60
241,1,315,3,61
242,1,295,4,61
243,1,295,3,61
244,1,275,5,61
245,1,245,5,62
246,1,245,4,62
247,1,245,3,62
248,1,225,2,62
249,1,225,5,63
250,1,225,5,63
251,1,225,5,63
252,1,225,3,63
253,1,315,4,64
254,1,315,2,64
255,1,275,5,64
256,1,275,5,64
257,1,245,5,65
258,1,245,2,65
259,1,245,3,65
260,1,225,5,65
261,1,225,5,66
262,1,225,5,66
263,1,225,6,66
264,1,225,6,66
265,1,315,2,67
266,1,315,2,67
267,1,295,2,67
268,1,295,1,67
269,1,250,5,68
270,1,245,4,68
271,1,245,3,68
272,1,225,5,68
273,1,235,5,69
274,1,235,5,69
275,1,235,5,69
276,1,235,5,69
277,1,315,5,70
278,1,315,3,70
279,1,295,3,70
280,1,275,5,70
281,1,250,5,71
282,1,250,3,71
283,1,250,3,71
284,1,225,4,71
285,1,245,5,72
286,1,245,5,72
287,1,245,5,72
288,1,245,5,72
289,1,325,3,73
290,1,315,2,73
291,1,315,1,73
292,1,295,1,73
293,1,225,5,74
294,1,145,8,74
295,1,145,10,74
296,1,145,8,74
297,1,225,6,75
298,1,145,11,75
299,1,145,9,75
300,1,145,9,75
301,1,325,4,76
302,1,315,3,76
303,1,315,2,76
304,1,275,5,76
305,1,255,2,77
306,1,225,7,77
307,1,225,4,77
308,1,225,3,77
309,1,250,5,78
310,1,250,5,78
311,1,250,5,78
312,1,250,5,78
313,1,325,5,79
314,1,315,3,79
315,1,315,3,79
316,1,295,5,79
317,1,255,3,80
318,1,235,5,80
319,1,235,4,80
320,1,225,2,80
321,1,260,5,81
322,1,260,5,81
323,1,260,5,81
324,1,260,5,81
325,1,345,3,82
326,1,315,2,82
327,1,225,5,82
328,1,225,5,82
329,1,245,5,83
330,1,235,5,83
331,1,235,5,83
332,1,235,3,83
333,1,255,5,84
334,1,275,5,84
335,1,265,5,84
336,1,265,5,84
337,1,335,5,85
338,1,315,5,85
339,1,315,4,85
340,1,295,5,85
341,1,255,3,86
342,1,245,4,86
343,1,235,5,86
344,1,235,4,86
345,1,270,5,87
346,1,270,5,87
347,1,275,5,87
348,1,270,5,87
349,1,345,3,88
350,1,315,5,88
351,1,315,5,88
352,1,315,5,88
353,1,255,3,89
354,1,245,4,89
355,1,235,3,89
356,1,225,2,89
357,1,275,5,90
358,1,275,5,90
359,1,275,5,90
360,1,275,5,90
361,1,345,5,91
362,1,335,3,91
363,1,325,5,91
364,1,315,4,91
365,1,255,4,92
366,1,245,4,92
367,1,235,4,92
368,1,225,4,92
369,1,285,5,93
370,1,275,5,93
371,1,275,5,93
372,1,275,5,93
373,1,355,5,94
374,1,335,3,94
375,1,325,5,94
376,1,315,5,94
377,1,255,5,95
378,1,245,5,95
379,1,235,5,95
380,1,235,4,95
381,1,295,5,96
382,1,295,5,96
383,1,295,5,96
384,1,295,5,96
385,1,355,5,97
386,1,335,4,97
387,1,325,5,97
388,1,315,5,97
389,1,260,4,98
390,1,245,5,98
391,1,245,4,98
392,1,235,2,98
393,1,315,5,99
394,1,295,5,99
395,1,295,5,99
396,1,295,5,99
397,1,355,5,100
398,1,335,5,100
399,1,325,5,100
400,1,315,5,100
401,1,165,5,101
402,1,190,5,101
403,1,220,8,101
404,1,0,0,101
405,1,210,5,102
406,1,240,5,102
407,1,270,9,102
408,1,0,0,102
409,1,90,5,103
410,1,100,5,103
411,1,115,10,103
412,1,0,0,103
413,1,235,5,104
414,1,270,5,104
415,1,305,8,104
416,1,0,0,104
417,1,180,3,105
418,1,205,3,105
419,1,230,8,105
